2019/1/24 星期四 15:33:52	正在初始化...已完成
2019/1/24 星期四 16:30:36	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 16:30:36	[任务5]快速出票安全期,等待3497ms

2019/1/24 星期四 16:30:40	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/24 星期四 16:30:40	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/24 星期四 16:30:40	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 16:43:29	开始预订G1018次列车车票...

2019/1/24 星期四 16:43:29	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 16:43:29	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 16:43:30	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 16:43:30	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/24 星期四 16:43:30	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 16:57:55	开始预订G1028次列车车票...

2019/1/24 星期四 16:57:55	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 16:57:55	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 16:57:56	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 16:57:56	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 16:57:56	[任务5]快速出票安全期,等待2021ms

2019/1/24 星期四 16:57:58	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/24 星期四 16:57:58	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/24 星期四 16:57:58	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 16:58:41	开始预订G1020次列车车票...

2019/1/24 星期四 16:58:41	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 16:58:41	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 16:58:42	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 16:58:42	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/24 星期四 16:58:42	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 16:59:08	开始预订G1028次列车车票...

2019/1/24 星期四 16:59:08	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 16:59:08	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 16:59:09	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 16:59:10	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 16:59:10	[任务5]快速出票安全期,等待2059ms

2019/1/24 星期四 16:59:12	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/24 星期四 16:59:12	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/24 星期四 16:59:12	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:01:10	开始预订G1020次列车车票...

2019/1/24 星期四 17:01:10	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:01:10	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:01:10	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 17:01:10	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/24 星期四 17:01:10	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:03:00	开始预订G1028次列车车票...

2019/1/24 星期四 17:03:00	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:03:00	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:03:00	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 17:03:00	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 17:03:00	[任务5]快速出票安全期,等待2633ms

2019/1/24 星期四 17:03:03	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/24 星期四 17:03:03	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/24 星期四 17:03:03	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:08:03	开始预订G1010次列车车票...

2019/1/24 星期四 17:08:03	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:08:03	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:08:04	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 17:08:04	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/24 星期四 17:08:04	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:14:05	开始预订G1014次列车车票...

2019/1/24 星期四 17:14:05	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:14:05	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:14:05	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 17:14:05	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/24 星期四 17:14:06	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:16:09	开始预订G1020次列车车票...

2019/1/24 星期四 17:16:09	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:16:09	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:16:09	[任务2]实时余票为(8)张,继续提交...

2019/1/24 星期四 17:16:09	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 17:16:09	[任务5]快速出票安全期,等待3073ms

2019/1/24 星期四 17:16:13	[提交成功]等待处理,本次用时:4.02秒

2019/1/24 星期四 17:16:15	[获取结果]12306:没有足够的票!

2019/1/24 星期四 17:16:15	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/24 星期四 17:16:15	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:17:26	开始预订G1020次列车车票...

2019/1/24 星期四 17:17:26	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:17:26	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:17:27	[任务2]实时余票为(8)张,继续提交...

2019/1/24 星期四 17:17:27	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 17:17:27	[任务5]快速出票安全期,等待3778ms

2019/1/24 星期四 17:17:31	[提交成功]等待处理,本次用时:4.29秒

2019/1/24 星期四 17:17:32	[获取结果]12306:没有足够的票!

2019/1/24 星期四 17:17:32	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/24 星期四 17:17:32	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:19:14	开始预订G1014次列车车票...

2019/1/24 星期四 17:19:14	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:19:14	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:19:15	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 17:19:15	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/24 星期四 17:19:15	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:36:25	开始预订G1028次列车车票...

2019/1/24 星期四 17:36:25	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:36:25	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:36:26	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 17:36:26	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/24 星期四 17:36:26	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:36:30	开始预订G1020次列车车票...

2019/1/24 星期四 17:36:30	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:36:30	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:36:30	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 17:36:30	[返回无票]该数据为缓存,将G1020车次放入小黑屋300秒...

2019/1/24 星期四 17:36:31	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 17:53:53	开始预订G1014次列车车票...

2019/1/24 星期四 17:53:53	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 17:53:53	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 17:53:53	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 17:53:53	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/24 星期四 17:53:53	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:30:43	开始预订G1020次列车车票...

2019/1/24 星期四 18:30:43	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:30:43	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:30:44	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 18:30:44	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 18:30:44	[任务5]快速出票安全期,等待1771ms

2019/1/24 星期四 18:30:48	[普通]线程启动完成,开始解析算法...

2019/1/24 星期四 18:30:48	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:30:48	[任务2]申请订单成功,开始获取令牌...

2019/1/24 星期四 18:30:49	[任务3]令牌获取完成,开始效验订单...

2019/1/24 星期四 18:30:49	[任务4]实时余票为(1)张,继续提交...

2019/1/24 星期四 18:30:49	[任务5]当前无需验证码,开始提交订单...

2019/1/24 星期四 18:30:49	[任务5]快速出票安全期,等待2316ms

2019/1/24 星期四 18:30:53	[任务7]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/24 星期四 18:30:53	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/24 星期四 18:30:53	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:33:20	开始预订G1020次列车车票...

2019/1/24 星期四 18:33:20	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:33:20	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:33:20	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 18:33:20	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 18:33:20	[任务5]快速出票安全期,等待2597ms

2019/1/24 星期四 18:33:23	[提交成功]等待处理,本次用时:3.28秒

2019/1/24 星期四 18:33:25	[获取结果]12306:没有足够的票!

2019/1/24 星期四 18:33:25	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/24 星期四 18:33:25	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:43:30	开始预订G1036次列车车票...

2019/1/24 星期四 18:43:30	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:43:30	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:43:31	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 18:43:31	[返回无票]该数据为缓存,将G1036车次放入小黑屋60秒...

2019/1/24 星期四 18:43:31	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:44:18	开始预订G1008次列车车票...

2019/1/24 星期四 18:44:18	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:44:18	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:44:19	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 18:44:19	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2019/1/24 星期四 18:44:19	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:45:25	开始预订G1036次列车车票...

2019/1/24 星期四 18:45:25	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:45:26	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:45:26	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 18:45:26	[返回无票]该数据为缓存,将G1036车次放入小黑屋60秒...

2019/1/24 星期四 18:45:26	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:46:41	开始预订G1036次列车车票...

2019/1/24 星期四 18:46:41	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:46:41	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:46:42	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 18:46:42	[返回无票]该数据为缓存,将G1036车次放入小黑屋60秒...

2019/1/24 星期四 18:46:42	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:48:30	开始预订G1036次列车车票...

2019/1/24 星期四 18:48:30	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:48:30	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:48:30	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 18:48:30	[返回无票]该数据为缓存,将G1036车次放入小黑屋60秒...

2019/1/24 星期四 18:48:30	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:48:34	开始预订G1014次列车车票...

2019/1/24 星期四 18:48:34	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:48:34	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:48:35	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 18:48:35	[返回无票]该数据为缓存,将G1014车次放入小黑屋120秒...

2019/1/24 星期四 18:48:35	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:48:42	开始预订Z24次列车车票...

2019/1/24 星期四 18:48:42	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:48:42	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:48:43	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 18:48:43	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/24 星期四 18:48:43	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 18:53:42	开始预订G1014次列车车票...

2019/1/24 星期四 18:53:42	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 18:53:42	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 18:53:42	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 18:53:42	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/24 星期四 18:53:42	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:01:46	开始预订G1014次列车车票...

2019/1/24 星期四 19:01:46	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:01:46	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:01:46	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:01:46	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/24 星期四 19:01:46	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:03:16	开始预订G1014次列车车票...

2019/1/24 星期四 19:03:16	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:03:16	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:03:16	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:03:16	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/24 星期四 19:03:16	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:17:04	开始预订G1022次列车车票...

2019/1/24 星期四 19:17:04	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:17:04	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:17:04	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:17:04	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/24 星期四 19:17:04	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:18:15	开始预订G1022次列车车票...

2019/1/24 星期四 19:18:15	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:18:15	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:18:15	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:18:15	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/24 星期四 19:18:15	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:23:55	开始预订G1022次列车车票...

2019/1/24 星期四 19:23:55	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:23:55	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:23:55	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:23:55	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/24 星期四 19:23:55	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:27:22	开始预订G1014次列车车票...

2019/1/24 星期四 19:27:22	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:27:22	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:27:23	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:27:23	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/24 星期四 19:27:24	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:28:42	开始预订G1014次列车车票...

2019/1/24 星期四 19:28:42	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:28:42	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:28:43	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:28:43	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/24 星期四 19:28:43	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:29:40	开始预订G1022次列车车票...

2019/1/24 星期四 19:29:40	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:29:40	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:29:41	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:29:41	[返回无票]该数据为缓存,将G1022车次放入小黑屋120秒...

2019/1/24 星期四 19:29:41	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:32:17	开始预订G1022次列车车票...

2019/1/24 星期四 19:32:17	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:32:17	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:32:17	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:32:17	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/24 星期四 19:32:17	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:33:30	开始预订G1022次列车车票...

2019/1/24 星期四 19:33:30	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:33:30	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:33:30	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:33:30	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/24 星期四 19:33:30	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:35:39	开始预订G1022次列车车票...

2019/1/24 星期四 19:35:39	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:35:39	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:35:39	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 19:35:39	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/24 星期四 19:35:39	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:44:06	开始预订G1020次列车车票...

2019/1/24 星期四 19:44:06	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:44:06	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:44:06	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 19:44:07	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 19:44:07	[任务5]快速出票安全期,等待2691ms

2019/1/24 星期四 19:44:10	[提交成功]等待处理,本次用时:3.71秒

2019/1/24 星期四 19:44:11	[获取结果]12306:没有足够的票!

2019/1/24 星期四 19:44:11	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/24 星期四 19:44:11	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 19:50:38	开始预订G1020次列车车票...

2019/1/24 星期四 19:50:38	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 19:50:38	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 19:50:38	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 19:50:38	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 19:50:39	[任务5]快速出票安全期,等待3362ms

2019/1/24 星期四 19:50:42	[提交成功]等待处理,本次用时:3.95秒

2019/1/24 星期四 19:50:44	[获取结果]12306:没有足够的票!

