2019/1/26 星期六 11:29:17	正在初始化...已完成
2019/1/26 星期六 11:43:42	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 11:43:42	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 11:43:42	[任务5]快速出票安全期,等待3644ms

2019/1/26 星期六 11:43:46	[提交成功]等待处理,本次用时:4.54秒

2019/1/26 星期六 11:43:47	[获取结果]12306:没有足够的票!

2019/1/26 星期六 11:43:47	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/26 星期六 11:43:47	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:47:53	开始预订G1010次列车车票...

2019/1/26 星期六 11:47:53	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:47:53	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:47:54	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:47:54	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/26 星期六 11:47:54	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:49:08	开始预订G1028次列车车票...

2019/1/26 星期六 11:49:09	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:49:09	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:49:09	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:49:09	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/26 星期六 11:49:09	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:49:25	开始预订G554次列车车票...

2019/1/26 星期六 11:49:25	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:49:25	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:49:26	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:49:26	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/26 星期六 11:49:26	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:49:28	开始预订G1004次列车车票...

2019/1/26 星期六 11:49:28	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:49:28	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:49:28	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:49:28	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/26 星期六 11:49:28	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:50:11	开始预订K1348次列车车票...

2019/1/26 星期六 11:50:11	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:50:11	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:50:12	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:50:12	[返回无票]该数据为缓存,将K1348车次放入小黑屋60秒...

2019/1/26 星期六 11:50:12	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:50:34	开始预订G554次列车车票...

2019/1/26 星期六 11:50:35	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:50:35	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:50:35	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:50:35	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/26 星期六 11:50:35	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:51:21	开始预订Z24次列车车票...

2019/1/26 星期六 11:51:21	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:51:21	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:51:21	[任务2]实时余票为(2)张,继续提交...

2019/1/26 星期六 11:51:21	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 11:51:21	[任务5]快速出票安全期,等待3179ms

2019/1/26 星期六 11:51:25	[提交成功]等待处理,本次用时:3.90秒

2019/1/26 星期六 11:51:26	[获取结果]12306:没有足够的票!

2019/1/26 星期六 11:51:26	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/26 星期六 11:51:26	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:51:50	开始预订T96次列车车票...

2019/1/26 星期六 11:51:50	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:51:50	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:51:50	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:51:50	[返回无票]该数据为缓存,将T96车次放入小黑屋60秒...

2019/1/26 星期六 11:51:50	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:53:00	开始预订G1018次列车车票...

2019/1/26 星期六 11:53:00	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:53:00	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:53:00	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 11:53:00	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 11:53:00	[任务5]快速出票安全期,等待2834ms

2019/1/26 星期六 11:53:03	[提交成功]等待处理,本次用时:3.50秒

2019/1/26 星期六 11:53:06	[获取结果]12306:没有足够的票!

2019/1/26 星期六 11:53:06	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 11:53:06	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:54:10	开始预订K1348次列车车票...

2019/1/26 星期六 11:54:10	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:54:10	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:54:11	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:54:11	[返回无票]该数据为缓存,将K1348车次放入小黑屋60秒...

2019/1/26 星期六 11:54:11	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:55:20	开始预订G1010次列车车票...

2019/1/26 星期六 11:55:20	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:55:20	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:55:21	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:55:21	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/26 星期六 11:55:21	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:55:21	开始预订G1028次列车车票...

2019/1/26 星期六 11:55:21	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:55:21	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:55:22	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:58:03	开始预订G1018次列车车票...

2019/1/26 星期六 11:58:03	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:58:03	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:58:04	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 11:58:04	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 11:58:04	[任务5]快速出票安全期,等待3390ms

2019/1/26 星期六 11:58:08	[提交成功]等待处理,本次用时:4.48秒

2019/1/26 星期六 11:58:09	[获取结果]12306:没有足够的票!

2019/1/26 星期六 11:58:09	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 11:58:09	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:00:29	开始预订Z24次列车车票...

2019/1/26 星期六 12:00:30	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:00:30	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:00:30	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 12:00:30	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:00:30	[任务5]快速出票安全期,等待2477ms

2019/1/26 星期六 12:00:32	[提交成功]等待处理,本次用时:2.86秒

2019/1/26 星期六 12:00:34	[获取结果]12306:没有足够的票!

2019/1/26 星期六 12:00:34	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/26 星期六 12:00:34	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:02:12	开始预订G1018次列车车票...

2019/1/26 星期六 12:02:12	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:02:12	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:02:12	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:02:12	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 12:02:12	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:18:58	开始预订G1020次列车车票...

2019/1/26 星期六 12:18:58	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:18:58	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:18:58	[任务2]实时余票为(2)张,继续提交...

2019/1/26 星期六 12:18:58	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:18:58	[任务5]快速出票安全期,等待3145ms

2019/1/26 星期六 12:19:01	[提交成功]等待处理,本次用时:3.57秒

2019/1/26 星期六 12:19:03	[获取结果]12306:没有足够的票!

2019/1/26 星期六 12:19:03	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/26 星期六 12:19:03	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:19:18	开始预订G1008次列车车票...

2019/1/26 星期六 12:19:18	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:19:18	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:19:18	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:19:18	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2019/1/26 星期六 12:19:18	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:19:25	开始预订G1010次列车车票...

2019/1/26 星期六 12:19:25	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:19:25	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:19:25	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:19:25	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/26 星期六 12:19:25	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:20:15	开始预订G1020次列车车票...

2019/1/26 星期六 12:20:15	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:20:15	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:20:17	[任务2]实时余票为(2)张,继续提交...

2019/1/26 星期六 12:20:17	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:20:17	[任务5]快速出票安全期,等待2003ms

2019/1/26 星期六 12:20:19	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/26 星期六 12:20:19	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/26 星期六 12:20:19	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:20:31	开始预订G1010次列车车票...

2019/1/26 星期六 12:20:31	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:20:31	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:20:31	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:20:32	[返回无票]该数据为缓存,将G1010车次放入小黑屋120秒...

2019/1/26 星期六 12:20:32	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:21:46	开始预订G1020次列车车票...

2019/1/26 星期六 12:21:46	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:21:46	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:21:46	[任务2]实时余票为(2)张,继续提交...

2019/1/26 星期六 12:21:46	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:21:46	[任务5]快速出票安全期,等待1947ms

2019/1/26 星期六 12:21:48	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/26 星期六 12:21:48	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/26 星期六 12:21:48	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:21:56	开始预订G1022次列车车票...

2019/1/26 星期六 12:21:56	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:21:56	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:21:57	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:21:57	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/26 星期六 12:21:57	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:22:38	开始预订G1010次列车车票...

2019/1/26 星期六 12:22:39	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:22:39	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:22:39	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:22:39	[返回无票]该数据为缓存,将G1010车次放入小黑屋180秒...

2019/1/26 星期六 12:22:39	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:23:39	开始预订G1022次列车车票...

2019/1/26 星期六 12:23:39	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:23:39	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:23:39	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:23:39	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/26 星期六 12:23:39	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:24:06	开始预订G1020次列车车票...

2019/1/26 星期六 12:24:06	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:24:06	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:24:07	[任务2]实时余票为(2)张,继续提交...

2019/1/26 星期六 12:24:07	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:24:07	[任务5]快速出票安全期,等待3200ms

2019/1/26 星期六 12:24:11	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/26 星期六 12:24:11	[返回无票]该数据为缓存,将G1020车次放入小黑屋120秒...

2019/1/26 星期六 12:24:11	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:24:55	开始预订G1022次列车车票...

2019/1/26 星期六 12:24:55	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:24:56	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:24:56	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:24:56	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/26 星期六 12:24:56	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:26:14	开始预订G1014次列车车票...

2019/1/26 星期六 12:26:14	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:26:14	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:26:15	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:26:15	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/26 星期六 12:26:15	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:26:16	开始预订G1010次列车车票...

2019/1/26 星期六 12:26:16	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:26:16	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:26:16	[任务3]12306系统忙,自动重试

2019/1/26 星期六 12:26:16	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:26:36	开始预订G1008次列车车票...

2019/1/26 星期六 12:26:36	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:26:36	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:26:36	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:26:36	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2019/1/26 星期六 12:26:36	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:27:26	开始预订G1014次列车车票...

2019/1/26 星期六 12:27:26	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:27:26	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:27:26	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:27:26	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/26 星期六 12:27:26	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:27:43	开始预订G554次列车车票...

2019/1/26 星期六 12:27:43	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:27:43	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:27:43	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:27:43	[返回无票]该数据为缓存,将G554车次放入小黑屋120秒...

2019/1/26 星期六 12:27:43	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:28:21	开始预订G1010次列车车票...

2019/1/26 星期六 12:28:21	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:28:21	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:28:22	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:28:22	[返回无票]该数据为缓存,将G1010车次放入小黑屋240秒...

2019/1/26 星期六 12:28:22	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:28:44	开始预订G1014次列车车票...

2019/1/26 星期六 12:28:44	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:28:44	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:28:45	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 12:28:45	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:28:45	[任务5]快速出票安全期,等待3065ms

2019/1/26 星期六 12:28:48	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/26 星期六 12:28:48	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/26 星期六 12:28:48	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:28:58	开始预订G1022次列车车票...

2019/1/26 星期六 12:28:58	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:28:58	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:28:58	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:28:59	[返回无票]该数据为缓存,将G1022车次放入小黑屋120秒...

2019/1/26 星期六 12:28:59	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:31:50	开始预订G1014次列车车票...

2019/1/26 星期六 12:31:50	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:31:50	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:31:51	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 12:31:51	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:31:51	[任务5]快速出票安全期,等待1948ms

2019/1/26 星期六 12:31:53	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/26 星期六 12:31:53	[返回无票]该数据为缓存,将G1014车次放入小黑屋120秒...

2019/1/26 星期六 12:31:53	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:33:59	开始预订G1014次列车车票...

2019/1/26 星期六 12:33:59	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:33:59	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:33:59	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 12:33:59	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:33:59	[任务5]快速出票安全期,等待3010ms

2019/1/26 星期六 12:34:02	[提交成功]等待处理,本次用时:3.52秒

2019/1/26 星期六 12:34:04	[获取结果]12306:没有足够的票!

2019/1/26 星期六 12:34:04	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/26 星期六 12:34:04	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:52:57	开始预订G1018次列车车票...

2019/1/26 星期六 12:52:57	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:52:57	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:52:58	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:52:58	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 12:52:58	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:56:18	开始预订G1018次列车车票...

2019/1/26 星期六 12:56:18	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:56:18	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:56:18	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 12:56:18	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:56:18	[任务5]快速出票安全期,等待2162ms

2019/1/26 星期六 12:56:21	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/26 星期六 12:56:21	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 12:56:21	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:57:24	开始预订G1018次列车车票...

2019/1/26 星期六 12:57:24	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:57:24	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:57:25	[任务2]实时余票为(1)张,继续提交...

2019/1/26 星期六 12:57:25	[任务4]当前无需验证码,开始提交订单...

2019/1/26 星期六 12:57:25	[任务5]快速出票安全期,等待3389ms

2019/1/26 星期六 12:57:28	[提交成功]等待处理,本次用时:4.26秒

2019/1/26 星期六 12:57:30	[获取结果]12306:没有足够的票!

2019/1/26 星期六 12:57:30	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/26 星期六 12:57:30	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:57:36	开始预订G1004次列车车票...

2019/1/26 星期六 12:57:36	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:57:36	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:57:37	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:57:37	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/26 星期六 12:57:37	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 12:58:51	开始预订G1004次列车车票...

2019/1/26 星期六 12:58:51	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 12:58:51	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 12:58:51	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 12:58:51	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/26 星期六 12:58:51	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 13:01:16	开始预订G1018次列车车票...

2019/1/26 星期六 13:01:16	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 13:01:16	[任务1]算法解析完成,开始申请订单...

