2019/1/17 星期四 13:56:20	正在初始化...已完成
2019/1/17 星期四 14:21:37	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:21:37	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:21:37	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:21:37	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/17 星期四 14:21:37	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:21:58	开始预订G1014次列车车票...

2019/1/17 星期四 14:21:58	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:21:58	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:21:58	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:21:58	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/17 星期四 14:21:58	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:22:07	开始预订G1002次列车车票...

2019/1/17 星期四 14:22:07	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:22:07	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:22:08	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:22:08	[返回无票]该数据为缓存,将G1002车次放入小黑屋180秒...

2019/1/17 星期四 14:22:08	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:22:55	开始预订Z24次列车车票...

2019/1/17 星期四 14:22:55	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:22:55	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:22:55	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:22:55	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/17 星期四 14:22:55	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:22:57	开始预订G1012次列车车票...

2019/1/17 星期四 14:22:57	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:22:57	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:23:00	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:23:00	[返回无票]该数据为缓存,将G1012车次放入小黑屋180秒...

2019/1/17 星期四 14:23:00	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:23:31	开始预订G1014次列车车票...

2019/1/17 星期四 14:23:31	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:23:31	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:23:31	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:23:31	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/17 星期四 14:23:32	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:24:07	开始预订G1022次列车车票...

2019/1/17 星期四 14:24:07	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:24:07	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:24:08	[任务2]实时余票为(1)张,继续提交...

2019/1/17 星期四 14:24:08	[任务4]当前无需验证码,开始提交订单...

2019/1/17 星期四 14:24:08	[任务5]快速出票安全期,等待2740ms

2019/1/17 星期四 14:24:11	[提交成功]等待处理,本次用时:4.24秒

2019/1/17 星期四 14:24:13	[获取结果]12306:没有足够的票!

2019/1/17 星期四 14:24:13	[返回无票]该数据为缓存,将G1022车次放入小黑屋120秒...

2019/1/17 星期四 14:24:13	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:24:36	开始预订Z24次列车车票...

2019/1/17 星期四 14:24:36	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:24:36	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:24:37	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:24:37	[返回无票]该数据为缓存,将Z24车次放入小黑屋120秒...

2019/1/17 星期四 14:24:37	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:25:09	开始预订G1014次列车车票...

2019/1/17 星期四 14:25:09	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:25:09	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:25:10	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:25:10	[返回无票]该数据为缓存,将G1014车次放入小黑屋120秒...

2019/1/17 星期四 14:25:10	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:26:46	开始预订Z24次列车车票...

2019/1/17 星期四 14:26:46	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:26:46	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:26:48	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:26:48	[返回无票]该数据为缓存,将Z24车次放入小黑屋180秒...

2019/1/17 星期四 14:26:48	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:28:11	开始预订G1014次列车车票...

2019/1/17 星期四 14:28:11	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:28:11	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:28:11	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:28:11	[返回无票]该数据为缓存,将G1014车次放入小黑屋180秒...

2019/1/17 星期四 14:28:11	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:36:58	开始预订K4176次列车车票...

2019/1/17 星期四 14:36:58	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:36:58	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:36:58	[任务2]实时余票为(1)张,继续提交...

2019/1/17 星期四 14:36:58	[任务4]当前无需验证码,开始提交订单...

2019/1/17 星期四 14:36:58	[任务5]快速出票安全期,等待2544ms

2019/1/17 星期四 14:37:01	[提交成功]等待处理,本次用时:3.18秒

2019/1/17 星期四 14:37:03	[获取结果]12306:尊敬的旅客，您的证件-黄钟鼎(421122198805026339)已订车票与本次购票行程冲突，请将已购车票办理改签，或办理退票后重新购票；如您确认此身份信息被他人冒用，请点击“网上举报”并确认后，可以继续购票。谢谢您的合作。

2019/1/17 星期四 14:37:03	[待处理]已停止任务,等待用户处理

2019/1/17 星期四 14:42:09	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:42:12	该用户已在其他地点登录或被踢出，正在重新登录...

2019/1/17 星期四 14:42:36	开始预订G554次列车车票...

2019/1/17 星期四 14:42:36	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:42:36	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:42:37	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:42:37	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/17 星期四 14:42:37	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:43:26	开始预订K4176次列车车票...

2019/1/17 星期四 14:43:26	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:43:26	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:43:26	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:43:26	[返回无票]该数据为缓存,将K4176车次放入小黑屋60秒...

2019/1/17 星期四 14:43:26	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:44:29	开始预订K4176次列车车票...

2019/1/17 星期四 14:44:29	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:44:29	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:44:30	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:44:30	[返回无票]该数据为缓存,将K4176车次放入小黑屋60秒...

2019/1/17 星期四 14:44:30	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:44:37	开始预订G554次列车车票...

2019/1/17 星期四 14:44:37	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:44:37	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:44:37	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:44:37	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/17 星期四 14:44:37	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:46:04	开始预订K4176次列车车票...

2019/1/17 星期四 14:46:04	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:46:04	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:46:04	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:46:04	[返回无票]该数据为缓存,将K4176车次放入小黑屋60秒...

2019/1/17 星期四 14:46:04	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:56:11	开始预订G1002次列车车票...

2019/1/17 星期四 14:56:11	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:56:11	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:56:11	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:56:11	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 14:56:12	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:56:41	开始预订G1020次列车车票...

2019/1/17 星期四 14:56:41	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:56:41	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:56:43	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:56:43	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/17 星期四 14:56:43	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:00:25	开始预订G1002次列车车票...

2019/1/17 星期四 15:00:25	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:00:25	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:00:28	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 15:00:28	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 15:00:28	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:15:31	正在初始化...已完成

2019/1/17 星期四 15:15:31	链接12306服务器速度:291毫秒[优]

2019/1/17 星期四 15:15:31	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/1/17 星期四 15:15:32	[多日期]每多一个日期将多查询一次，频率过快，容易被限制，不建议设置多个日期，如非要设置，请尽量少的添加！

2019/1/17 星期四 15:15:32	获取到:1335个CDN,开始智能测速中...

2019/1/17 星期四 15:15:36	查询完毕,本次查询共用时:855毫秒

2019/1/17 星期四 15:15:59	查询完毕,本次查询共用时:1893毫秒

2019/1/17 星期四 15:16:12	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:16:33	链接12306服务器速度:259毫秒[优]

2019/1/17 星期四 15:17:33	链接12306服务器速度:541毫秒[良]

2019/1/17 星期四 15:18:59	该用户已在其他地点登录或被踢出，正在重新登录...

2019/1/17 星期四 15:19:12	[检查状态]检测到下线,已成功登录

2019/1/17 星期四 15:20:16	开始预订G1002次列车车票...

2019/1/17 星期四 15:20:16	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:20:16	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:20:17	该用户已在其他地点登录或被踢出，正在重新登录...

2019/1/17 星期四 15:20:29	开始预订G1002次列车车票...

2019/1/17 星期四 15:20:29	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:20:29	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:20:30	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 15:20:30	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 15:20:30	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:20:41	[自动登录]登录成功

2019/1/17 星期四 15:20:41	[普通]线程启动完成,开始解析算法...

2019/1/17 星期四 15:20:41	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:20:41	[任务2]申请订单成功,开始获取令牌...

2019/1/17 星期四 15:20:41	[任务3]令牌获取完成,开始效验订单...

2019/1/17 星期四 15:20:42	[任务4]目前排队人数已经超过余票张数

2019/1/17 星期四 15:20:42	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 15:20:42	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:20:44	开始预订G554次列车车票...

2019/1/17 星期四 15:20:44	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:20:44	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:20:45	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 15:20:45	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/17 星期四 15:20:45	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:21:32	开始预订G1002次列车车票...

2019/1/17 星期四 15:21:32	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:21:32	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:21:33	该用户已在其他地点登录或被踢出，正在重新登录...

2019/1/17 星期四 15:22:10	[自动登录]登录成功

2019/1/17 星期四 15:22:10	[普通]线程启动完成,开始解析算法...

2019/1/17 星期四 15:22:10	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:22:13	[任务2]申请订单成功,开始获取令牌...

2019/1/17 星期四 15:22:13	[任务3]令牌获取完成,开始效验订单...

2019/1/17 星期四 15:22:17	[任务4]目前排队人数已经超过余票张数

2019/1/17 星期四 15:22:17	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 15:22:17	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:22:35	开始预订G1002次列车车票...

2019/1/17 星期四 15:22:35	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:22:35	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:22:35	该用户已在其他地点登录或被踢出，正在重新登录...

2019/1/17 星期四 15:22:42	[自动登录]登录成功

2019/1/17 星期四 15:22:42	[普通]线程启动完成,开始解析算法...

2019/1/17 星期四 15:22:42	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:22:42	[任务2]申请订单成功,开始获取令牌...

2019/1/17 星期四 15:22:42	[任务3]令牌获取完成,开始效验订单...

2019/1/17 星期四 15:22:43	[任务4]目前排队人数已经超过余票张数

2019/1/17 星期四 15:22:43	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 15:22:43	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:23:49	开始预订G76次列车车票...

2019/1/17 星期四 15:23:49	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:23:49	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:23:50	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 15:23:50	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/17 星期四 15:23:50	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:24:07	开始预订G554次列车车票...

2019/1/17 星期四 15:24:07	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:24:07	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:24:08	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 15:24:08	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/17 星期四 15:24:08	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:25:10	开始预订G1002次列车车票...

2019/1/17 星期四 15:25:10	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:25:10	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:25:10	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 15:25:10	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 15:25:10	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:25:55	开始预订G76次列车车票...

2019/1/17 星期四 15:25:55	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:25:55	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 15:25:55	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 15:25:55	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/17 星期四 15:25:55	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 15:26:55	开始预订G554次列车车票...

2019/1/17 星期四 15:26:55	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 15:26:55	[任务1]算法解析完成,开始申请订单...

