2019/1/18 星期五 11:35:46	正在初始化...已完成
2019/1/18 星期五 11:41:28	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:42:34	开始预订G1028次列车车票...

2019/1/18 星期五 11:42:34	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:42:34	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:42:34	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:42:34	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/18 星期五 11:42:35	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:45:48	链接12306服务器速度:216毫秒[优]

2019/1/18 星期五 11:46:49	开始预订G1010次列车车票...

2019/1/18 星期五 11:46:49	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:46:49	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:46:50	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:46:50	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/18 星期五 11:46:50	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:48:48	链接12306服务器速度:249毫秒[优]

2019/1/18 星期五 11:51:47	开始预订G1012次列车车票...

2019/1/18 星期五 11:51:47	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:51:47	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:51:48	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 11:51:48	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 11:51:48	[任务5]快速出票安全期,等待3164ms

2019/1/18 星期五 11:51:53	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 11:51:53	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/18 星期五 11:51:53	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:52:57	开始预订G1012次列车车票...

2019/1/18 星期五 11:52:57	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:52:57	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:52:57	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 11:52:57	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 11:52:57	[任务5]快速出票安全期,等待3129ms

2019/1/18 星期五 11:53:02	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 11:53:02	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/18 星期五 11:53:02	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:54:15	开始预订G1012次列车车票...

2019/1/18 星期五 11:54:15	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:54:15	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:54:17	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 11:54:17	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 11:54:17	[任务5]快速出票安全期,等待3308ms

2019/1/18 星期五 11:54:21	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 11:54:21	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/18 星期五 11:54:21	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:54:36	开始预订G72次列车车票...

2019/1/18 星期五 11:54:36	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:54:36	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:54:36	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:54:36	[返回无票]该数据为缓存,将G72车次放入小黑屋60秒...

2019/1/18 星期五 11:54:36	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:55:22	开始预订G1012次列车车票...

2019/1/18 星期五 11:55:22	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:55:22	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:55:22	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 11:55:22	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 11:55:22	[任务5]快速出票安全期,等待2988ms

2019/1/18 星期五 11:55:25	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 11:55:25	[返回无票]该数据为缓存,将G1012车次放入小黑屋120秒...

2019/1/18 星期五 11:55:26	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:56:31	开始预订G72次列车车票...

2019/1/18 星期五 11:56:31	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:56:31	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:56:32	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:56:32	[返回无票]该数据为缓存,将G72车次放入小黑屋60秒...

2019/1/18 星期五 11:56:32	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:56:52	开始预订G76次列车车票...

2019/1/18 星期五 11:56:52	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:56:52	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:56:53	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:56:53	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/18 星期五 11:56:53	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:57:30	开始预订G1012次列车车票...

2019/1/18 星期五 11:57:30	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:57:30	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:57:31	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 11:57:31	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 11:57:31	[任务5]快速出票安全期,等待2587ms

2019/1/18 星期五 11:57:35	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 11:57:35	[返回无票]该数据为缓存,将G1012车次放入小黑屋180秒...

2019/1/18 星期五 11:57:35	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:58:00	开始预订G76次列车车票...

2019/1/18 星期五 11:58:00	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:58:00	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:58:00	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:58:00	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/18 星期五 11:58:00	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:58:38	开始预订G72次列车车票...

2019/1/18 星期五 11:58:38	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:58:38	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:58:38	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:58:38	[返回无票]该数据为缓存,将G72车次放入小黑屋60秒...

2019/1/18 星期五 11:58:38	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:59:14	开始预订G76次列车车票...

2019/1/18 星期五 11:59:14	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:59:14	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:59:14	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:59:14	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/18 星期五 11:59:14	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:00:41	开始预订G1012次列车车票...

2019/1/18 星期五 12:00:41	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:00:41	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:00:41	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:00:41	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:00:41	[任务5]快速出票安全期,等待2683ms

2019/1/18 星期五 12:00:44	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:00:44	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/18 星期五 12:00:44	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:02:26	开始预订G1012次列车车票...

2019/1/18 星期五 12:02:26	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:02:26	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:02:26	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:02:26	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:02:26	[任务5]快速出票安全期,等待3543ms

2019/1/18 星期五 12:02:30	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:02:30	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/18 星期五 12:02:30	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:03:55	开始预订G76次列车车票...

2019/1/18 星期五 12:03:55	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:03:55	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:03:55	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:03:55	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/18 星期五 12:03:55	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:04:02	开始预订G1012次列车车票...

2019/1/18 星期五 12:04:02	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:04:02	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:04:02	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:04:02	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:04:02	[任务5]快速出票安全期,等待2692ms

2019/1/18 星期五 12:04:05	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:04:05	[返回无票]该数据为缓存,将G1012车次放入小黑屋360秒...

2019/1/18 星期五 12:04:05	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:13:45	开始预订G1018次列车车票...

2019/1/18 星期五 12:13:45	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:13:45	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:13:47	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:13:47	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/18 星期五 12:13:47	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:14:09	开始预订Z24次列车车票...

2019/1/18 星期五 12:14:09	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:14:09	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:14:11	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:14:11	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/18 星期五 12:14:11	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:14:22	开始预订G1020次列车车票...

2019/1/18 星期五 12:14:22	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:14:22	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:14:23	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:14:23	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/18 星期五 12:14:23	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:14:49	开始预订G1018次列车车票...

2019/1/18 星期五 12:14:49	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:14:49	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:14:51	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:14:51	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/18 星期五 12:14:51	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:15:45	开始预订G1020次列车车票...

2019/1/18 星期五 12:15:45	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:15:45	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:15:45	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:15:45	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/18 星期五 12:15:45	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:16:08	开始预订G1018次列车车票...

2019/1/18 星期五 12:16:08	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:16:08	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:16:10	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:16:10	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/18 星期五 12:16:10	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:16:40	开始预订Z24次列车车票...

2019/1/18 星期五 12:16:40	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:16:40	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:16:41	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:16:41	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/18 星期五 12:16:41	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:16:59	开始预订G1020次列车车票...

2019/1/18 星期五 12:16:59	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:16:59	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:17:00	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:17:00	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/18 星期五 12:17:00	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:18:34	开始预订G1018次列车车票...

2019/1/18 星期五 12:18:34	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:18:34	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:18:34	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:18:34	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/18 星期五 12:18:34	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:19:02	开始预订G1020次列车车票...

2019/1/18 星期五 12:19:02	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:19:02	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:19:03	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:19:03	[返回无票]该数据为缓存,将G1020车次放入小黑屋120秒...

2019/1/18 星期五 12:19:03	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:19:27	开始预订Z24次列车车票...

2019/1/18 星期五 12:19:27	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:19:27	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:19:27	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:19:27	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/18 星期五 12:19:27	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:21:23	开始预订Z24次列车车票...

2019/1/18 星期五 12:21:23	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:21:23	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:21:23	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:21:23	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/18 星期五 12:21:23	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:21:40	开始预订G1020次列车车票...

2019/1/18 星期五 12:21:40	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:21:40	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:21:43	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:21:43	[返回无票]该数据为缓存,将G1020车次放入小黑屋180秒...

2019/1/18 星期五 12:21:43	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:46:58	开始预订G1022次列车车票...

2019/1/18 星期五 12:46:58	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:46:58	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:46:58	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:46:58	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/18 星期五 12:46:58	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:48:57	开始预订K4240次列车车票...

2019/1/18 星期五 12:48:57	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:48:57	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:48:57	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:48:57	[返回无票]该数据为缓存,将K4240车次放入小黑屋60秒...

2019/1/18 星期五 12:48:57	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:49:01	开始预订G1014次列车车票...

2019/1/18 星期五 12:49:01	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:49:01	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:49:02	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:49:02	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:49:02	[任务5]快速出票安全期,等待2813ms

2019/1/18 星期五 12:49:05	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:49:05	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/18 星期五 12:49:05	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:49:14	开始预订G1022次列车车票...

2019/1/18 星期五 12:49:14	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:49:14	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:49:15	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:49:15	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/18 星期五 12:49:15	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:49:19	开始预订G1010次列车车票...

2019/1/18 星期五 12:49:19	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:49:19	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:49:20	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:49:20	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:49:20	[任务5]快速出票安全期,等待2598ms

2019/1/18 星期五 12:49:22	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:49:23	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/18 星期五 12:49:23	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:49:26	开始预订Z230次列车车票...

2019/1/18 星期五 12:49:26	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:49:26	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:49:27	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:49:27	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:49:27	[任务5]快速出票安全期,等待1915ms

2019/1/18 星期五 12:49:29	[任务5]余票不足！

2019/1/18 星期五 12:49:29	[返回无票]该数据为缓存,将Z230车次放入小黑屋60秒...

2019/1/18 星期五 12:49:29	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:50:22	开始预订G1014次列车车票...

2019/1/18 星期五 12:50:22	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:50:22	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:50:22	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:50:22	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:50:22	[任务5]快速出票安全期,等待2684ms

2019/1/18 星期五 12:50:25	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:50:25	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/18 星期五 12:50:25	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:51:29	开始预订G1014次列车车票...

2019/1/18 星期五 12:51:29	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:51:29	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:51:30	[任务2]实时余票为(1)张,继续提交...

2019/1/18 星期五 12:51:30	[任务4]当前无需验证码,开始提交订单...

2019/1/18 星期五 12:51:30	[任务5]快速出票安全期,等待2999ms

2019/1/18 星期五 12:51:34	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/18 星期五 12:51:34	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/18 星期五 12:51:34	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:51:39	开始预订G1022次列车车票...

2019/1/18 星期五 12:51:39	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:51:39	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:51:41	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:51:41	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/18 星期五 12:51:41	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:51:53	开始预订K4240次列车车票...

2019/1/18 星期五 12:51:53	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:51:53	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 12:51:53	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 12:51:53	[返回无票]该数据为缓存,将K4240车次放入小黑屋60秒...

2019/1/18 星期五 12:51:53	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 12:52:18	开始预订G1020次列车车票...

2019/1/18 星期五 12:52:18	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 12:52:18	[任务1]算法解析完成,开始申请订单...

