2019/8/20 星期二 12:14:11	正在从[1]号服务器获取时间...
2019/8/20 星期二 18:48:28	[小黑屋]该数据为缓存,将G825车次(O)放入小黑屋60秒...

2019/8/20 星期二 18:48:28	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 18:51:48	开始预订G825车次的车票...

2019/8/20 星期二 18:51:48	[极速]线程启动完成,开始解析算法...

2019/8/20 星期二 18:51:48	[任务1]算法解析完成,开始申请订单...

2019/8/20 星期二 18:51:48	[任务2]目前排队人数已经超过余票张数

2019/8/20 星期二 18:51:48	[小黑屋]该数据为缓存,将G825车次(O)放入小黑屋60秒...

2019/8/20 星期二 18:51:48	开始查询2019-08-25车次，间隔：默认

