2019/1/20 星期日 12:34:07	正在初始化...已完成
2019/1/20 星期日 12:44:53	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:44:53	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/20 星期日 12:44:53	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:46:10	链接12306服务器速度:441毫秒[良]

2019/1/20 星期日 12:47:10	链接12306服务器速度:389毫秒[良]

2019/1/20 星期日 12:52:55	开始预订G1032次列车车票...

2019/1/20 星期日 12:52:55	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:52:55	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:52:56	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:52:56	[返回无票]该数据为缓存,将G1032车次放入小黑屋60秒...

2019/1/20 星期日 12:52:56	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:53:45	开始预订G1012次列车车票...

2019/1/20 星期日 12:53:45	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:53:45	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:53:46	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:53:46	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/20 星期日 12:53:46	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:54:28	开始预订G1032次列车车票...

2019/1/20 星期日 12:54:28	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:54:28	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:54:29	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:54:29	[返回无票]该数据为缓存,将G1032车次放入小黑屋60秒...

2019/1/20 星期日 12:54:29	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:54:57	开始预订G1012次列车车票...

2019/1/20 星期日 12:54:57	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:54:57	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:54:58	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:54:58	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/20 星期日 12:54:58	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:55:24	开始预订G1020次列车车票...

2019/1/20 星期日 12:55:25	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:55:25	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:55:25	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:55:25	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/20 星期日 12:55:25	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:55:55	开始预订G1032次列车车票...

2019/1/20 星期日 12:55:55	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:55:55	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:55:55	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:55:55	[返回无票]该数据为缓存,将G1032车次放入小黑屋60秒...

2019/1/20 星期日 12:55:55	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:56:08	开始预订G1012次列车车票...

2019/1/20 星期日 12:56:08	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:56:08	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:56:08	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:56:08	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/20 星期日 12:56:08	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:56:50	开始预订G1020次列车车票...

2019/1/20 星期日 12:56:50	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:56:50	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:56:51	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:56:51	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/20 星期日 12:56:51	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:57:06	开始预订G1032次列车车票...

2019/1/20 星期日 12:57:06	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:57:06	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:57:07	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:57:07	[返回无票]该数据为缓存,将G1032车次放入小黑屋120秒...

2019/1/20 星期日 12:57:07	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:57:13	开始预订G1012次列车车票...

2019/1/20 星期日 12:57:13	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:57:13	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:57:13	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:57:13	[返回无票]该数据为缓存,将G1012车次放入小黑屋120秒...

2019/1/20 星期日 12:57:13	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:58:02	开始预订G1020次列车车票...

2019/1/20 星期日 12:58:02	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:58:02	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:58:03	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:58:03	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/20 星期日 12:58:03	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:59:14	开始预订G1012次列车车票...

2019/1/20 星期日 12:59:14	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:59:14	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:59:15	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:59:15	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/20 星期日 12:59:15	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:59:16	开始预订G1020次列车车票...

2019/1/20 星期日 12:59:16	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:59:16	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:59:16	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:59:16	[返回无票]该数据为缓存,将G1020车次放入小黑屋120秒...

2019/1/20 星期日 12:59:16	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:59:18	开始预订G1032次列车车票...

2019/1/20 星期日 12:59:18	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:59:18	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:59:18	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:59:18	[返回无票]该数据为缓存,将G1032车次放入小黑屋180秒...

2019/1/20 星期日 12:59:18	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:00:22	开始预订G1012次列车车票...

2019/1/20 星期日 13:00:22	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:00:22	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:00:22	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:00:22	[返回无票]该数据为缓存,将G1012车次放入小黑屋240秒...

2019/1/20 星期日 13:00:22	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:01:29	开始预订G1020次列车车票...

2019/1/20 星期日 13:01:29	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:01:29	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:01:29	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:01:30	[返回无票]该数据为缓存,将G1020车次放入小黑屋180秒...

2019/1/20 星期日 13:01:30	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:13:00	开始预订G1018次列车车票...

2019/1/20 星期日 13:13:00	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:13:00	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:13:00	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:13:00	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/20 星期日 13:13:00	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:13:14	开始预订Z24次列车车票...

2019/1/20 星期日 13:13:14	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:13:14	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:13:14	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:13:15	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/20 星期日 13:13:15	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:13:21	开始预订K1656次列车车票...

2019/1/20 星期日 13:13:21	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:13:21	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:13:22	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:13:22	[返回无票]该数据为缓存,将K1656车次放入小黑屋60秒...

2019/1/20 星期日 13:13:22	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:13:26	开始预订G1004次列车车票...

2019/1/20 星期日 13:13:26	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:13:26	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:13:26	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:13:26	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/20 星期日 13:13:26	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:15:01	开始预订G1018次列车车票...

2019/1/20 星期日 13:15:01	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:15:01	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:15:02	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:15:02	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/20 星期日 13:15:02	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:15:16	开始预订Z24次列车车票...

2019/1/20 星期日 13:15:16	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:15:16	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:15:16	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:15:16	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/20 星期日 13:15:16	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:15:27	开始预订K1656次列车车票...

2019/1/20 星期日 13:15:27	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:15:27	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:15:27	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:15:27	[返回无票]该数据为缓存,将K1656车次放入小黑屋60秒...

2019/1/20 星期日 13:15:27	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:15:56	开始预订G1004次列车车票...

2019/1/20 星期日 13:15:56	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:15:56	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:15:56	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:15:56	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/20 星期日 13:15:56	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:16:30	开始预订G1018次列车车票...

2019/1/20 星期日 13:16:31	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:16:31	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:16:31	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:16:31	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/20 星期日 13:16:31	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:16:44	开始预订K1656次列车车票...

2019/1/20 星期日 13:16:44	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:16:44	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:16:44	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:16:44	[返回无票]该数据为缓存,将K1656车次放入小黑屋60秒...

2019/1/20 星期日 13:16:44	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:17:06	开始预订G1004次列车车票...

2019/1/20 星期日 13:17:06	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:17:06	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:17:06	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:17:06	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/20 星期日 13:17:06	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:17:19	开始预订Z24次列车车票...

2019/1/20 星期日 13:17:19	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:17:19	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:17:20	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:17:20	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/20 星期日 13:17:20	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:17:42	开始预订G1018次列车车票...

2019/1/20 星期日 13:17:42	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:17:42	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:17:42	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:17:42	[返回无票]该数据为缓存,将G1018车次放入小黑屋120秒...

2019/1/20 星期日 13:17:42	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:18:04	开始预订K1656次列车车票...

2019/1/20 星期日 13:18:04	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:18:04	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:18:04	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:18:04	[返回无票]该数据为缓存,将K1656车次放入小黑屋120秒...

2019/1/20 星期日 13:18:04	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:18:29	开始预订G1004次列车车票...

2019/1/20 星期日 13:18:29	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:18:29	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:18:29	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:18:29	[返回无票]该数据为缓存,将G1004车次放入小黑屋120秒...

2019/1/20 星期日 13:18:29	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:20:03	开始预订G1018次列车车票...

2019/1/20 星期日 13:20:03	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:20:03	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:20:03	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:20:03	[返回无票]该数据为缓存,将G1018车次放入小黑屋180秒...

2019/1/20 星期日 13:20:04	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:20:52	开始预订K1656次列车车票...

2019/1/20 星期日 13:20:52	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:20:52	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:20:53	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:20:53	[返回无票]该数据为缓存,将K1656车次放入小黑屋180秒...

2019/1/20 星期日 13:20:53	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:21:12	开始预订G1002次列车车票...

2019/1/20 星期日 13:21:12	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:21:12	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:21:13	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:21:13	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/20 星期日 13:21:13	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:22:21	开始预订G1002次列车车票...

2019/1/20 星期日 13:22:21	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:22:21	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:22:21	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:22:21	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/20 星期日 13:22:21	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:22:44	开始预订G1032次列车车票...

2019/1/20 星期日 13:22:44	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:22:44	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:22:44	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:22:44	[返回无票]该数据为缓存,将G1032车次放入小黑屋240秒...

2019/1/20 星期日 13:22:44	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:26:34	开始预订G1002次列车车票...

2019/1/20 星期日 13:26:34	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:26:34	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:26:34	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:26:34	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/20 星期日 13:26:34	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:27:52	开始预订G1002次列车车票...

2019/1/20 星期日 13:27:52	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:27:52	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:27:52	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:27:52	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/20 星期日 13:27:52	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:28:12	开始预订G1032次列车车票...

2019/1/20 星期日 13:28:12	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:28:12	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:28:12	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:28:12	[返回无票]该数据为缓存,将G1032车次放入小黑屋300秒...

2019/1/20 星期日 13:28:12	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 13:29:44	开始预订G1002次列车车票...

2019/1/20 星期日 13:29:44	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 13:29:44	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 13:29:45	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 13:29:45	[返回无票]该数据为缓存,将G1002车次放入小黑屋180秒...

2019/1/20 星期日 13:29:45	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 15:22:45	正在初始化...已完成

2019/1/20 星期日 15:22:46	链接12306服务器速度:583毫秒[良]

2019/1/20 星期日 15:22:47	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/1/20 星期日 15:22:48	[多日期]每多一个日期将多查询一次，频率过快，容易被限制，不建议设置多个日期，如非要设置，请尽量少的添加！

2019/1/20 星期日 15:22:48	获取到:1334个CDN,开始智能测速中...

2019/1/20 星期日 15:24:48	查询完毕,本次查询共用时:2893毫秒

2019/1/20 星期日 15:24:57	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/20 星期日 15:25:49	链接12306服务器速度:266毫秒[优]

2019/1/20 星期日 15:27:13	开始预订G1020次列车车票...

2019/1/20 星期日 15:27:13	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 15:27:13	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 15:27:14	[任务2]实时余票为(1)张,继续提交...

2019/1/20 星期日 15:27:14	[任务4]当前无需验证码,开始提交订单...

2019/1/20 星期日 15:27:14	[提交成功]等待处理,本次用时:0.76秒

2019/1/20 星期日 15:27:16	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 15:27:18	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 15:27:21	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 15:27:24	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 15:27:28	[获取结果]12306:出票失败，请您重试。

2019/1/20 星期日 15:27:28	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/20 星期日 15:27:28	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/20 星期日 15:28:53	开始预订G1020次列车车票...

2019/1/20 星期日 15:28:53	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 15:28:53	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 15:28:54	[任务2]实时余票为(1)张,继续提交...

2019/1/20 星期日 15:28:54	[任务4]当前无需验证码,开始提交订单...

2019/1/20 星期日 15:28:54	[提交成功]等待处理,本次用时:1.48秒

2019/1/20 星期日 15:28:56	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 15:28:59	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/20 星期日 15:29:01	[获取结果]12306:没有足够的票!

2019/1/20 星期日 15:29:01	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/20 星期日 15:29:01	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/20 星期日 15:31:30	开始预订G1018次列车车票...

2019/1/20 星期日 15:31:30	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 15:31:30	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 15:31:30	[任务2]实时余票为(1)张,继续提交...

2019/1/20 星期日 15:31:30	[任务4]当前无需验证码,开始提交订单...

